English Name,Amount,English Unit,,Calories,Fats,Carbs,Protein,Arabic Name,Arabic Unit,Vit A (µg),Vit C (mg),Vit D (µg),Vit K (µg),Folate (µg),Vit B12 (µg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Zinc (mg),Selenium (µg),,FoodGroup,SubGroup
Cooked Rice (cooked),100,gm,,123,0.4,26,2.9,أرز (بعد الطهي),جرام ,-,-,-,-,58,-,10,0.2,12,35,0.4,9.7,,Carbs,High-Carb
Taro (cooked),100,gm,,112,0.2,26.46,1.5,قلقاس (بعد الطهي),جرام ,4,4.5,-,2.6,22,-,43,0.55,23,591,0.29,0.7,,Carbs,High-Carb
Nescafe Mix 2*1,100,sachet,,4700,280,520,30,نيسكافية 2*1,كيس,-,-,-,-,-,-,200,5,30,200,0.5,2,,Packaged & Mixed Foods,Candy-like Snack
Abu Auf Sahlab,100,Gram,,415,11.5,71,7,سحلب (أبو عوف),جرام,12,0.2,,0.5,8,0.1,210,1.1,45,220,0.8,3.5,,Packaged & Mixed Foods,High-Carb
Nesquik Cereal,100,gm,,383,4,75,7.7,رقائق أفطار (نسكويك),جرام ,467,20,5,-,200,2.5,267,10.7,70,250,2,15,,Carbs,High-Carb
Organic Nation Gainer,100,Gram,,390,2,73,20,جينير (Organic Nation),جرام,-,-,-,-,-,-,-,-,-,-,-,-,,Packaged & Mixed Foods,High-Carb
Redcon Isorope,100,Gram,,375,1.6,6.3,78.1,واي بروتين (Redcon Isorope),جرام,-,-,--,-,-,-,--,-,-,-,-,-,,Protein,Lean Protein
"Apple Juice, Fresh",100,Gram,,46,0.1,11.3,0.1,عصير تفاح فريش,جرام,1,0.5,0,0.1,1,0,4,0.1,4,101,0.04,0.1,,Fruit,High-Carb
Groundcherry,100,gm,,52,0.72,11,2,حرنكش,جرام ,36,11,-,-,-,-,13,1,40,270,0.2,0.6,,Fruit,Low-Carb
Almond Butter,100,gm,,614,56,19,21,زبدة لوز,جرام ,1,-,-,-,50,-,250,3.5,260,700,3,4,,Fats & Oils,Healthy Fat
Evolve Whey,100,Gram,,393,6.9,12.5,71.4,واي بروتين (Evolve),جرام ,-,-,-,-,--,-,-,-,-,-,-,-,,Protein,Lean Protein
Ghee,100,gm,,850,89.5,0,0.4,سمنة بلدي,جرام ,840,-,-,8.6,-,0.03,4,0.02,1,5,0.01,0.3,,Fats & Oils,Healthy Fat
Diet Cappuccino,100,sachet,,8413,272,1424,256,كابتشينو لايت,كيس,I don’t know,0,0,0,0,0,0,0,0,0,0,0,,Packaged & Mixed Foods,Candy-like Snack
Light Gouda Cheese,100,gm,,235,11.6,0,31,جبنة جودا لايت,جرام ,150,-,-,20,15,1.5,900,0.3,40,120,4,20,,Protein,Lean Protein
Guava,100,gm,,68,0,14.3,2.5,جوافة ,جرام ,31,228.3,-,2.2,49,-,18,0.26,22,417,0.23,0.6,,Fruit,High-Carb
Watermelon Juice,100,Gram,,30,0.2,7.6,0.6,بطيخ,جرام,28,8.1,0,0.1,3,0,7,0.2,10,112,0.1,0.4,,Fruit,Low-Cal
Cinnamon,100,Gram,,247,1.2,81,4,قرفة بودره,جرام,15,3.8,0,31.2,6,0,1002,8.3,60,431,1.8,3.1,,Sauces & Condiments,Low-Cal
Violife Vegan Mozzarella,100,slice,,5700,460,400,0,جبنة موزاريلا نباتي (Violife),شريحة,5400,-,100,50,-,-,1400,20,-,-,-,-,,Packaged & Mixed Foods,Balanced Protein-Carb
Lentil Kofta Not Fried,100,gm,,218,1,39,15,كفتة عدس نباتي (غير مقلية),جرام ,5,5,-,5,250,-,40,5,60,500,2,5,,Protein,Balanced Protein-Carb
Seitan Tenders Not Fried,100,gm,,138,1,14,19,قطع سيتان نباتي (غير مقلية),جرام ,-,-,-,-,15,-,20,3,30,150,1,10,,Protein,Lean Protein
Chicken Tenders Not Fried,100,gm,,149,1,13,20,شرائح دجاج نباتي (غير مقلية),جرام ,10,-,-,-,5,0.3,10,1,30,300,1.5,25,,Protein,Lean Protein
Egyptian Falafel Not Fried,100,gm,,214,2,35,15,طعمية مصرية (غير مقلية),جرام ,10,5,-,20,150,-,80,5,100,700,2,5,,Protein,Balanced Protein-Carb
Chicken Nuggets Not Fried,100,gm,,154,1,15,19,قطع دجاج نباتي (غير مقلية),جرام ,10,-,-,-,10,0.2,20,1,25,280,1.2,20,,Protein,Lean Protein
Las Vegan Meatballs,100,gm,,211,13.26,14.68,11.12,كرات لحم نباتي (Las Vegan),جرام ,0,0,0,0,0,0,0,0,0,0,0,0,,Protein,Balanced Protein-Carb
Juhayna Cooking Cream,100,ml,,265,27,3,2.5,كريمة طهي (جهينة),جرام ,250,0.5,-,2.5,3,0.1,80,0.1,8,100,0.2,1,,Protein,Healthy Fat
Las Vegan Minced Meat,100,gm,,230,17,9,13,لحمة مفرومة نباتي (Las Vegan),جرام ,0,0,0,0,0,0,0,0,0,0,0,0,,Protein,Fatty Protein
Las Vegan Kofta,100,Gram,,285,23,20,0,كفتة نباتي (Las Vegan),جرام,0,0,0,0,0,2.5,0,0,0,0,0,0,,Protein,Lean Protein
President Lite Mozzarella,100,gm,,308,19.1,6.7,0,جبنة موزاريلا لايت (بريزيدون),جرام ,180,-,-,2,7,0.8,600,0.4,20,100,2.5,15,,Protein,Lean Protein
Cottage Cheese,100,gm,,91,3.5,2.8,12,جبنة قريش,جرام ,37,-,0.1,-,9,0.4,83,0.08,8,104,0.4,9.7,,Protein,Lean Protein
Whole Grain Biscuits,100,Gram,,445,14.8,70.1,8.9,بسكويت ,جرام ,0,0,0,1.9,19,0,49,3.5,39,139,0.4,2.5,,Packaged & Mixed Foods,High-Carb
Rio Mare Mexican Salad,100,Gram,,195,13,9.5,10,سلطة تونة (ريو ماري),جرام ,18,3.1,0.6,12.5,12,0.8,50,0.8,20,156,0.5,25,,Packaged & Mixed Foods,Balanced Protein-Carb
Juhayna Lactose Free Milk,100,ml,,57,3,4.5,3,لبن خالي من اللاكتوز (جهينة),جرام ,45,-,1.2,0.3,5,0.4,120,0.03,10,140,0.35,3.5,,Protein,Lean Protein
White Bread,100,Gram,,265,3.2,49,9.1,توست أبيض,جرام ,0,0,0,0.3,41,0.1,141,1.2,25,115,0.7,19.6,,Carbs,High-Carb
Pistachio,100,gm,,562,45,28,20,فستق,جرام ,26,5.6,-,13.2,51,-,105,3.9,121,1025,2.2,7,,Fats & Oils,Healthy Fat
Shredded Coconut,100,gm,,354,33.75,12.5,3.75,جوز هند (بودرة),جرام ,-,3.3,-,0.2,26,-,14,2.4,32,356,1.1,10.1,,Fats & Oils,Fatty Protein
Foul Medemes,100,gm,,94,2.8,13,5.8,فول مدمس,جرام ,1,1,-,3,170,-,45,2.2,65,300,1,1,,Protein,Balanced Protein-Carb
Omega-3,100,capsule,,0,0,0,0,أوميجا-3,كبسول,-,-,-,-,-,-,-,-,-,-,-,-,,,
Genuphil Advance Saches,100,sachet,,0,0,0,0,جينوفيل أدفانس,كيس,-,-,-,-,-,-,-,-,-,-,-,-,,,
Vi-Drop,100,mL,,0,0,0,0,في-دروب,جرام ,75000,8000,1000,-,-,-,-,-,-,-,-,-,,,
Perfectil,100,tablet,,0,0,0,0,بيرفيكتيل,قرص,75000,6000,500,9000,50000,900,20000,1200,7500,-,1500,10000,,,
Creatine,100,scoop,,0,0,0,0,كرياتين,سكوب,-,-,-,-,-,-,-,-,-,-,-,-,,,
Centrum,100,capsule,,0,0,0,0,سنتروم,كبسول,105000,9000,2500,2500,40000,600,20000,1800,5000,8000,1100,5500,,,
Pre-Workout,100,scoop,,0,0,0,0,بري ووركاوت,سكوب,-,25000,-,-,40000,3500,-,-,-,-,-,-,,,
Multi-Vitamins,100,tablet,,0,0,0,0,مالتي فيتامين,قرص,90000,9000,1000,3000,40000,250,16200,1800,10000,8000,1500,2000,,,
Zinc,100,capsule,,0,0,0,0,زنك,كبسول,-,-,-,-,-,-,-,-,-,-,5000,-,,,
Magnesium,100,tablet,,0,0,0,0,ماغنيسيوم,قرص,-,-,-,-,-,-,-,-,40000,-,-,-,,,
Glutamine,100,mg,,0,0,0,0,جلوتامين,مجم,-,-,-,-,-,-,-,-,-,-,-,-,,,
Osteocare 400 Mg,100,capsule,,0,0,0,0,Osteocare 400 mg,كبسول,-,-,1000,-,-,-,80000,-,30000,-,1000,5000,,,
Chromax,100,capsule,,0,0,0,0,Chromax,كبسول,-,-,-,-,-,-,-,-,-,-,-,-,,,
Vitamin D,100,capsule,,0,0,0,0,Vitamin D,كبسول,-,-,25000,-,-,-,-,-,-,-,-,-,,,
"Beef (cooked ,stewed or broiled)",100,grams,,250,13,0,25,   لحم بقرى صافى مطهي,جرام,2,-,0.1,1.1,5,2.6,8,3.1,22,300,6.9,35,,Protein,Lean Protein
Roast beef,100,grams,,267,17.32,0,21.9,   الروست بيف لحم بارد,جرام,2,-,0.1,1.2,4,2.5,7,2.8,20,280,6.5,33,,Protein,Fatty Protein
Beef ground packaged frozen,100,grams,,202,12,5,18.3,   اللحم مفروم مجمد و نئ,جرام,2,-,0.1,1,3,2,6,2.5,18,250,5,28,,Protein,Balanced Protein-Carb
"Beef Ground 3% (cooked ,stewed or broiled)",100,grams,,151,3,0,27,اللحمة مفرومة 3% دسم مطهي,جرام,3,-,0.1,1.1,6,2.7,9,3.2,23,310,7,36,,Protein,Lean Protein
"Beef Ground 10% (cooked ,stewed or broiled)",100,grams,,214,10,0,27,اللحمة مفرومة 10% دسم مطهي,جرام,2,-,0.1,1.2,5,2.6,8,3,21,290,6.8,34,,Protein,Fatty Protein
Kofta,100,grams,,271,18,0,26,   الكفتة,جرام,3,-,0.1,1.2,5,2.6,25,3.2,22,300,7,35,,Packaged & Mixed Foods,Fatty Protein
Beef Shank Cooked,100,grams,,201,6.4,0,33,   اللحم موزة مطبوخ,جرام,2,-,0.1,1.1,5,3,9,3.5,24,320,7.5,38,,Protein,Lean Protein
“Veal leg top round boneless cooked grilled,100,grams,,128,2.2,0,27,   الفخذة بتلو مطبوخة,جرام,-,-,0.1,1,4,2.8,6,1.5,23,350,4.5,30,,Protein,Lean Protein
Full rump cooked broiled,100,grams,,168,2.7,0,33.7,   الوش الفخذة البقري مطبوخة,جرام,2,-,0.1,1.1,5,3,9,3.5,25,330,8,40,,Protein,Lean Protein
Rib steaks,100,grams,,354,29,0,23,   اللحم ريش مطبوخ,جرام,3,-,0.2,1.5,4,2.8,10,3,22,280,7,35,,Protein,Fatty Protein
Mortadella,100,grams,,311,25,3,16,   المرتدلا,جرام,15,-,0.5,2,10,1.5,50,2,20,250,3,25,,Packaged & Mixed Foods,Fatty Protein
Hot Dog Raw,100,grams,,289,26,4,10,   السوسيس – نقانق – هوت دوج قبل الطبخ,جرام,10,-,0.4,1.8,8,1.2,40,1.8,18,220,2.5,22,,Packaged & Mixed Foods,Fatty Protein
Sausages beef cooked,100,grams,,331,28,0,18,   السجق بقري مطبوخ,جرام,5,-,0.2,1.3,4,2,10,2.5,15,200,4,28,,Packaged & Mixed Foods,Fatty Protein
Sadia beef franks smoked raw,100,grams,,137,6.5,6.5,13,   الساديا نقانق بقري مدخنة نيئة,جرام,8,-,0.3,1.5,6,1,35,1.5,15,200,2,20,,Packaged & Mixed Foods,Fatty Protein
Deli meat smoked turkey breast,100,grams,,109,3,2.2,17.4,   اللانشون الرومي المدخن,جرام,8,-,0.2,-,6,0.3,25,1.2,25,280,1.8,28,,Packaged & Mixed Foods,Fatty Protein
Turkey Mortadella,100,grams,,109,3,2.2,17.4,   المرتدلا الديك الرومي,جرام,8,-,0.2,-,6,0.3,25,1.2,25,280,1.8,28,,Protein,Fatty Protein
Chicken Breast Raw Without Skin,100,grams,,110,1,0,23,   صدر دجاج نئ,جرام,5,-,-,0.1,4,0.3,5,0.4,28,370,0.7,20,,Protein,Lean Protein
"Chicken Breast (cooked ,stewed or broiled)",100,grams,,165,4,0,30,   صدر دجاج مطهي,جرام,6,-,-,-,4,-,15,1,29,256,1,22,,Protein,Lean Protein
Squab Pigeon cooked,100,grams,,141,5.1,0.3,21.8,   الحمام مطبوخ بدون زيت,جرام,100,7.2,0.5,3,6,0.4,13,4.5,25,237,2.7,13.5,,Protein,Lean Protein
Frozen Chicken Burger Raw,100,grams,,240,16,5.5,17,   البرجر دجاج نئ مجمد,جرام,12,-,-,0.2,8,0.3,40,1.5,20,250,1.5,18,,Packaged & Mixed Foods,Balanced Protein-Carb
Chicken breast breaded fried,100,grams,,270,16.5,9.4,21.7,   صدور دجاج بانيه مقلية,جرام,15,-,0.1,0.5,10,0.3,20,1.2,25,280,1.2,20,,Packaged & Mixed Foods,Fatty Protein
"Chicken Broth , Soup",100,grams,,16,0.6,0.5,2,   شوربة الدجاج,جرام,2,-,-,-,1,0.1,5,0.2,4,80,0.2,2,,Packaged & Mixed Foods,Low-Carb
Beef broth soup,100,grams,,88,4,0,9,   شوربة لحم أحمر,جرام,1,-,0.1,-,2,1,4,1.5,8,150,2,15,,Packaged & Mixed Foods,Low-Carb
"Chicken Leg (cooked ,stewed or broiled)",100,grams,,212,12.28,0,23.68,   ورك – رجل دجاج مطهي,جرام,18,-,0.1,0.2,5,0.4,12,1.3,23,230,2.5,25,,Protein,Lean Protein
"Duck Breast (cooked ,stewed or broiled)",100,grams,,133,2.38,0,26.22,   صدر بط مطهي,جرام,27,-,0.2,5.1,2,0.4,10,2.5,25,300,2,22,,Protein,Lean Protein
"Duck Leg (cooked ,stewed or broiled)",100,grams,,178,5.96,0,29.1,   ورك بط مطهي,جرام,30,-,0.2,5.5,2,0.4,12,2.8,28,320,2.2,24,,Protein,Lean Protein
"Turkey breast (cooked , stewed or broiled)",100,grams,,135,0.74,0,30,   صدر ديك رومي مطهي,جرام,10,-,0.2,-,8,0.4,32,1.4,30,330,2,30.7,,Protein,Lean Protein
"Turkey thighs (cooked , stewed or broiled)",101,grams,,196,13.4,0,17,   فخذ ديك رومي مطهي,جرام,12,-,0.2,-,7,0.4,13,2,22,230,2.5,28,,Protein,Lean Protein
"Turkey wings (cooked , stewed or broiled)",102,grams,,227,12,0,27,   جناح ديك رومي مطهي,جرام,25,-,0.2,-,6,0.4,15,1.8,25,250,2.8,32,,Protein,Lean Protein
Rabbit Meat Cooked Roasted,100,grams,,197,8,0,29,   لحم أرانب مطبوخ,جرام,1,-,-,1.1,1,1.1,20,2.3,22,350,2.2,38.4,,Protein,Lean Protein
Americana Beef Shawerma,100,grams,,185,8.55,3.2,24.5,   شاورما بقري أمريكانا,جرام,2,-,0.1,1,5,2.5,20,3,20,280,6,30,,Packaged & Mixed Foods,Balanced Protein-Carb
Americana Chicken Shawerma,100,grams,,192,12,5,16,   شاورما دجاج أمريكانا,جرام,15,-,-,0.2,10,0.3,30,1,22,260,1.5,20,,Packaged & Mixed Foods,Balanced Protein-Carb
Eggs Whole,100,grams,,147,9.94,0.77,12.58,   بيض مسلوق أو مقلي بدون زيت,جرام,149,-,2.2,0.3,47,1.1,56,1.8,12,138,1.3,30.8,,Protein,Lean Protein
Egg Whites,100,grams,,52,0.2,0.7,10,   بياض البيض فقط,جرام,-,-,-,-,1,-,7,0.1,11,163,0.1,19,,Protein,Lean Protein
Eggology Egg Whites,100,grams,,52.156,0,0.884,10.608,   بياض بيض إيجولوجي,جرام,-,-,-,-,1,-,7,0.1,11,163,0.1,19,,Protein,Lean Protein
Luncheon,100,grams,,216,14,4,18,   اللانشون,جرام,10,-,0.4,1.5,8,1.2,45,1.8,18,230,2.5,22,,Packaged & Mixed Foods,Fatty Protein
Pepperoni,100,grams,,494,44,0,23,   البيبروني,جرام,20,1,0.5,2,12,2,60,2.5,25,280,3.5,30,,Packaged & Mixed Foods,Fatty Protein
Pastrami,100,grams,,105,1.5,0.2,22.7,   البسطرمة,جرام,3,-,0.1,1.2,4,2.7,7,3.5,20,280,5,30,,Protein,Lean Protein
Lamb liver raw,100,grams,,139,5,1.8,20,   كبد غنم نئ,جرام,7690,4,0.4,90,260,76.5,7,8.8,20,300,4.2,120,,Protein,Lean Protein
"Beef Liver (cooked ,stewed or broiled)",100,grams,,191,5,5,29,   كبدة مطهية,جرام,9193,1.3,1.2,106,290,83.1,6,4.9,18,313,4,55,,Protein,Lean Protein
"Chicken Liver (cooked ,stewed or broiled)",100,grams,,167,6.5,1,24.5,   كبدة دجاج مطهية,جرام,3290,27.9,0.3,3.1,560,16.6,8,8.5,21,230,2.7,54.6,,Protein,Lean Protein
"Chicken Heart (cooked ,stewed or broiled)",100,grams,,185,7.9,0,26.5,   قلوب دجاج مطهية,جرام,100,2.1,0.4,-,72,7.3,16,6.3,17,200,7,30,,Protein,Lean Protein
Chicken Gizzared Cooked,100,grams,,154,2.7,0,30.1,   قوانص دجاج مطهية,جرام,80,4.5,0.1,-,5,1.1,10,3.2,20,210,4.4,45,,Protein,Lean Protein
Alyoum Chicken Premium Chicken Kabab,100,grams,,176,8.9,6.3,17.5,   اليوم كباب الدجاج الفاخر,جرام,0,0,0,0,0,0,0,0,0,0,0,0,,Packaged & Mixed Foods,Balanced Protein-Carb
Salami,100,grams,,336,26,1,22,   السلامي,جرام,18,-,0.4,2,10,1.8,50,2.2,22,260,3,28,,Packaged & Mixed Foods,Fatty Protein
Tuna Canned in Oil Drained,100,grams,,198,8,0,29,   تونة مصفاة من الزيت,جرام,22,-,1.7,0.1,2,2.2,10,1,30,250,1.1,80,,Protein,Lean Protein
Tuna canned in oil undrained,100,grams,,290,23.2,0,20.8,   تونة  الزيت غير مصفاة,جرام,20,-,1.5,0.1,2,2,8,0.9,28,230,1,75,,Protein,Fatty Protein
Tuna Canned in Water Drained,100,grams,,116,1,0,26,   تونة مصفاة من الماء,جرام,18,-,1.6,0.1,2,2.1,8,0.8,28,240,1,78,,Protein,Lean Protein
Goody Light meat Tuna Sunflower Oil,100,grams,,207,10.4,0,28.3,   تونة قودي زيت عباد شمس مصفاة,جرام,22,-,1.7,0.1,2,2.2,10,1,30,250,1.1,80,,Protein,Lean Protein
John West Tuna drained,100,grams,,180,8,0,27,   تونا جون ويست مصفاة,جرام,20,-,1.7,0.1,2,2.2,10,1,30,250,1.1,80,,Protein,Lean Protein
Tuna rio marie olive oil,100,grams,,360,32,0,18,   تونا ريو ماري  زيت زيتون,جرام,18,-,1.5,0.1,2,2,8,0.9,25,220,1,70,,Protein,Fatty Protein
John West Spreadables Tuna Mediterranean,100,grams,,184,12,5.5,13,   تونة جون ويست البحر المتوسط,جرام,15,2,1,0.2,5,1.5,20,0.8,25,200,0.8,60,,Packaged & Mixed Foods,Balanced Protein-Carb
Canned Anchovy Drained,100,grams,,210,9.71,0,28.89,   سمك انشوجة معلب,جرام,50,-,1.7,0.1,10,0.6,232,4.6,41,383,1.7,68.1,,Protein,Fatty Protein
Canned Salmon Drained,100,grams,,144,6.28,0,20.5,   سمك سلمون معلب مصفى,جرام,12,-,12.3,0.4,4,3.3,205,0.8,27,330,0.6,36.5,,Protein,Fatty Protein
Carrefour canned salmon,100,grams,,170,10,1.7,20,   كارفور سلمون معلب,جرام,15,-,12,0.4,4,3.3,210,0.8,28,340,0.6,38,,Protein,Fatty Protein
Nile Perch Fish Raw,100,grams,,82,0,2,17,   سمك قشر البياض نئ,جرام,10,-,-,-,5,1,20,0.5,25,300,0.5,30,,Protein,Lean Protein
Basa fillet cooked,100,grams,,107,1,0,21,   ليه سمك الباسا مطبوخ,جرام,15,-,-,-,4,1.2,15,0.3,22,280,0.4,28,,Protein,Lean Protein
Gilt-Head bream cooked,100,grams,,88,1,0,20,   سمك دينيس مشوي,جرام,45,-,20,0.1,5,2.5,40,1,30,400,0.5,40,,Protein,Lean Protein
"Mullet Fish (cooked ,stewed or broiled)",100,grams,,150,4.86,0,24.81,   سمك بورى مطهي,جرام,60,-,24.7,0.1,10,3,50,1,30,400,0.5,46.8,,Protein,Lean Protein
"Tilapia Fish (cooked ,stewed or broiled)",100,grams,,128,3,0,26,   سمك بلطى مطهي,جرام,1,-,3.9,-,4,1.6,10,0.27,34,380,0.4,54.4,,Protein,Lean Protein
"Salmon (cooked ,stewed or broiled)",100,grams,,171,7.56,0.49,24,   سمك سالمون مطهي,جرام,13,-,10.9,0.5,25,2.6,15,0.4,29,360,0.4,36.5,,Protein,Fatty Protein
Parrot Fish cooked,100,grams,,150,2,0,28,   سمك الببغاء مطهي,جرام,40,-,-,-,8,1.5,30,0.8,35,350,0.6,40,,Protein,Lean Protein
Seabream cooked,100,grams,,77,1,0,17,   سمك الكوفر مطهي,جرام,45,-,20,0.1,5,2.5,40,1,30,400,0.5,40,,Protein,Lean Protein
Russian Zander Fish,100,grams,,84,1,0,18,   سمك قشر بياض نئ,جرام,20,-,-,-,6,1.8,25,0.6,28,320,0.8,35,,Protein,Lean Protein
"Shrimps (cooked ,stewed or broiled)",100,grams,,154,5.03,1.17,24.47,   جمبرى مطهي,جرام,15,-,-,0.2,4,1.66,70,0.5,39,259,1.6,39.7,,Protein,Lean Protein
Supreme Fish cooked,100,grams,,88,1,4,16,   سمك سوبريم مطبوخ,جرام,40,-,20,0.1,5,2.5,40,1,30,400,0.5,40,,Protein,Lean Protein
Red Emperor Fish Raw,100,grams,,110,1,0,20,   سمك شعري نئ,جرام,30,-,-,-,6,1.2,25,0.5,30,350,0.5,35,,Protein,Lean Protein
Fish Carp cooked dry heat,100,grams,,162,7,0,23,   سمك الكارب مشوي,جرام,20,-,24.7,0.1,8,1.5,50,1.5,35,350,1.5,12.8,,Protein,Lean Protein
Grouper Fish Raw,100,grams,,92,1,0,19,   سمك الهامور نئ,جرام,40,-,-,-,10,1.1,20,0.5,40,500,0.7,36.5,,Protein,Lean Protein
Grouper fish cooked dry heat,100,grams,,118,1,0,25,   سمك هامور مطبوخ,جرام,40,-,-,-,10,1.1,20,0.5,40,500,0.7,36.5,,Protein,Lean Protein
"Squid (cooked ,stewed or broiled)",100,grams,,105,1.6,3.5,17.9,   سبيط او كاليماري مطهي,جرام,10,4.7,-,-,5,1.3,32,0.7,33,246,1.5,44.7,,Protein,Lean Protein
Spanish Mackerel cooked dry heat,100,grams,,158,6,0,24,   سمك كنعد مشوي,جرام,45,1.2,15.8,7.8,2,13,12,1.4,35,400,0.5,42.1,,Protein,Lean Protein
Mackerel Atlantic Raw,100,grams,,205,13.9,0,18.6,   سمك ماكريل محيط أطلنطي نئ,جرام,40,1,15.3,7.8,1,8.7,15,1.6,76,314,0.6,44.1,,Protein,Fatty Protein
Crab (raw),100,grams,,86,1,59,17,   الكابوريا,جرام,1,7,-,0.1,43,2,59,2.9,41,292,3.5,25.7,,Protein,Lean Protein
Lizard Fish Cooked,100,grams,,93,0.8,0,20.1,   سمك المكرونة مطبوخ,جرام,30,-,-,-,5,1,25,0.6,28,320,0.5,30,,Protein,Lean Protein
Red Bream fish,100,grams,,143,5,1,23,   سمك المرجان,جرام,50,-,20,0.1,5,2.5,40,1,30,400,0.5,40,,Protein,Lean Protein
"Fish, herring, Atlantic, pickled",100,grams,,262,18,3,14,   رنجة من المحيط الأطلسى (مملح),جرام,15,-,16.1,8,10,13.7,77,1.1,35,320,1,46,,Protein,Fatty Protein
Sea Bass Cooked Broiled,100,grams,,148,5.8,0.5,22.1,   سمك القاروص مطبوخ,جرام,50,-,15,0.1,5,2.5,40,1,30,300,0.5,38,,Protein,Lean Protein
Canned Sardines with bones,100,grams,,208,12,0,24,   سردين معلب بالعظام مصفى,جرام,25,-,4.8,2.6,10,8.9,382,2.9,39,397,1.3,52.7,,Protein,Fatty Protein
Sardine canned in oil undrained,100,grams,,298,25,0,19,   سردين معلب  الزيت غير مصفى,جرام,22,-,4.5,2.5,8,8.5,350,2.8,35,380,1.2,50,,Protein,Fatty Protein
Sardine Whole cooked,100,grams,,199,11,0,24,   سردين كامل مطبوخ,جرام,22,-,4.5,2.5,8,8.5,350,2.8,35,380,1.2,50,,Protein,Fatty Protein
Morrison Sardines with Tomato Sauce,100,grams,,139,7,1,17,   سردين معلب موريسون بصوص الطماطم,جرام,100,5,4,2,20,8,400,3,40,400,1.5,50,,Packaged & Mixed Foods,Balanced Protein-Carb
Caviar,100,grams,,264,18,4,25,   الكاار أو البطارخ,جرام,271,1.6,5.8,0.6,50,20,275,11.9,300,181,1,65.5,,Protein,Fatty Protein
Greek yogurt,100,grams,,87,3,13,7,   زبادي يوناني,جرام,27,0.5,-,0.1,7,0.37,121,0.05,12,155,0.59,2.2,,Packaged & Mixed Foods,Balanced Protein-Carb
Low Fat Greek Yogurt,100,grams,,59,1,4,11,   زبادي يوناني خالي الدسم,جرام,30,0.6,-,0.1,5,0.76,110,0.05,11,155,0.59,2.2,,Protein,Lean Protein
Milk Full Cream,100,grams,,60,3,5,3,   حليب كامل الدسم,جرام,46,-,1.3,0.3,5,0.4,121,0.03,10,143,0.37,3.7,,Packaged & Mixed Foods,Balanced Protein-Carb
Milk Reduced Fat,100,grams,,50,1.97,4.68,3.3,   حليب نصف دسم,جرام,56,-,1.3,0.1,5,0.5,120,0.05,11,146,0.4,3.1,,Packaged & Mixed Foods,Balanced Protein-Carb
Milk Skimmed,100,grams,,35,0.2,5,3,   حليب خالى الدسم,جرام,58,-,1.3,0.1,5,0.5,123,0.03,11,157,0.4,3.2,,Protein,Lean Protein
Al Ain reduced fat milk,100,grams,,44,3,4.8,3.2,   حليب العين قليل الدسم معزز بالتامينات,جرام,56,-,1.3,0.1,5,0.5,120,0.05,11,146,0.4,3.1,,Packaged & Mixed Foods,Balanced Protein-Carb
Joya flavoured soya milk Vanilla,100,grams,,60,2,8,3,   حليب صويا بنكهة الفانيليا جويا,جرام,25,-,1.2,-,11,0.5,120,0.6,20,120,0.3,3,,Packaged & Mixed Foods,Balanced Protein-Carb
Camel Milk Full cream,100,grams,,46,2,5,3,   حليب الإبل كامل الدسم,جرام,30,3,0.7,-,5,0.4,120,0.1,15,150,0.4,4,,Packaged & Mixed Foods,Balanced Protein-Carb
Almond Milk Fortfied,100,grams,,25,1,3.3,0.4,   حليب لوز مدعم,جرام,50,-,1,-,-,-,50,0.16,6,17,0.06,0.2,,Packaged & Mixed Foods,Low-Cal
Nestle sweet condensed milk,100,grams,,325,8,56.4,6.9,   نستلة حليب مكثف محلى,جرام,80,2,0.2,0.5,10,0.3,250,0.2,25,350,1,15,,Sauces & Condiments,Candy-like Snack
Condensed milk unsweetned,100,grams,,144,8,11,6.9,   حليب مكثف غير محلى,جرام,85,1,1,0.4,8,0.3,260,0.1,22,300,0.8,12,,Sauces & Condiments,Balanced Protein-Carb
Arla Protein yogurt,100,grams,,62,0.5,9.7,4.1,   زبادي عالي البروتين أرلا,جرام,30,0.6,-,0.1,5,0.76,110,0.05,11,155,0.59,2.2,,Protein,Lean Protein
Roamy Cheese,100,grams,,374,30,1,25,   الجبنة الرومى,جرام,240,-,0.5,2.3,8,1.6,1064,0.8,41,187,4.4,14.5,,Fats & Oils,Fatty Protein
Cheddar Cheese,100,grams,,403,33.14,1.28,24.9,   جبنة شيدر,جرام,263,-,0.6,2.1,18,0.8,721,0.68,28,98,3.1,14.5,,Fats & Oils,Fatty Protein
Edam Cheese,100,grams,,356,28,1.4,25,   جبنة فلمنك,جرام,220,-,0.4,2.3,15,1.5,731,0.4,30,188,4,14.5,,Fats & Oils,Fatty Protein
Marai Cheddar Cheese Slices,100,grams,,270,22,3,15,   المراعي شرائح جبن شيدر,جرام,200,-,0.4,2,12,1,600,0.3,25,150,2.5,12,,Packaged & Mixed Foods,Fatty Protein
Low Fat Cheddar Cheese,100,grams,,173,7,1.91,24.9,   جبنة شيدر قليلة الدسم,جرام,150,-,0.3,1.5,15,1.2,800,0.5,30,120,3.5,15,,Protein,Lean Protein
